,0
0,0.487962962962963
1,0.48055555555555557
2,0.5171296296296296
3,0.5351851851851852
4,0.5296296296296297
5,0.5467592592592593
6,0.5185185185185185
7,0.5189814814814815
8,0.5143518518518518
9,0.5601851851851852
10,0.5800925925925926
11,0.6555555555555556
12,0.7337962962962963
13,0.8226851851851852
14,0.8856481481481482
15,0.9217592592592593
16,0.9361111111111111
17,0.9467592592592593
18,0.937962962962963
19,0.9365740740740741
20,0.9254629629629629
21,0.9189814814814815
22,0.9236111111111112
23,0.9337962962962963
24,0.913425925925926
25,0.9009259259259259
26,0.8976851851851851
27,0.8981481481481481
28,0.8981481481481481
29,0.8981481481481481
30,0.9027777777777778
